Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
1,Petroleum Engineering,Bachelor's,"$94,600 ","$175,500 "
2,Actuarial Mathematics,Bachelor's,"$56,400 ","$131,700 "
3,Actuarial Science,Bachelor's,"$61,200 ","$130,800 "
4,Nuclear Engineering,Bachelor's,"$69,000 ","$127,500 "
5,Chemical Engineering,Bachelor's,"$70,300 ","$124,500 "
6,Marine Engineering,Bachelor's,"$73,900 ","$123,200 "
7,Economics and Mathematics,Bachelor's,"$60,000 ","$122,900 "
8,Geophysics,Bachelor's,"$54,100 ","$122,200 "
9,Cognitive Science,Bachelor's,"$54,000 ","$121,900 "
10,Electrical Power Engineering,Bachelor's,"$68,600 ","$119,100 "
11 (tie),Aeronautical Engineering,Bachelor's,"$65,300 ","$118,800 "
11 (tie),Electrical & Computer Engineering (ECE),Bachelor's,"$69,000 ","$118,800 "
13,Computer Systems Engineering,Bachelor's,"$72,000 ","$118,000 "
14 (tie),Bioengineering (BioE),Bachelor's,"$61,600 ","$116,800 "
14 (tie),Computer Science (CS) & Engineering,Bachelor's,"$70,900 ","$116,800 "
16,Computer Engineering (CE),Bachelor's,"$70,300 ","$116,000 "
17,Electrical Engineering (EE),Bachelor's,"$67,800 ","$114,800 "
18 (tie),Computer Science (CS) & Mathematics,Bachelor's,"$62,800 ","$114,400 "
18 (tie),Industrial & Systems Engineering,Bachelor's,"$65,700 ","$114,400 "
20,Naval Architecture & Marine Engineering,Bachelor's,"$68,200 ","$113,800 "
21,Aerospace Engineering,Bachelor's,"$66,300 ","$113,300 "
22 (tie),Applied Mathematics,Bachelor's,"$57,600 ","$113,200 "
22 (tie),Mechanical & Aeronautical Engineering,Bachelor's,"$62,900 ","$113,200 "
24,Engineering Physics,Bachelor's,"$60,400 ","$112,600 "
25,International Business & Finance,Bachelor's,"$54,600 ","$112,200 "
26,Industrial Distribution,Bachelor's,"$57,400 ","$112,000 "
27,Engineering,Bachelor's,"$63,100 ","$111,600 "
28,Computer & Information Science,Bachelor's,"$56,200 ","$111,300 "
29,Computer Science (CS),Bachelor's,"$65,900 ","$110,100 "
30,Public Accounting,Bachelor's,"$57,500 ","$110,000 "
31,Mining Engineering,Bachelor's,"$71,300 ","$108,500 "
32,Physics,Bachelor's,"$58,000 ","$108,000 "
33,Physician Assistant Studies,Bachelor's,"$87,800 ","$107,600 "
34,Electrical & Electronics Engineering (EEE),Bachelor's,"$66,200 ","$107,400 "
35,Physics & Mathematics,Bachelor's,"$56,900 ","$107,200 "
36,Industrial Engineering (IE),Bachelor's,"$64,400 ","$107,100 "
37,Government,Bachelor's,"$49,400 ","$107,000 "
38,Mechanical Engineering (ME),Bachelor's,"$64,000 ","$106,800 "
39,Japanese Language,Bachelor's,"$46,200 ","$106,100 "
40,Business & Information Technology (IT),Bachelor's,"$58,700 ","$105,300 "
41 (tie),Metallurgical Engineering,Bachelor's,"$75,300 ","$105,100 "
41 (tie),Structural Engineering (SE),Bachelor's,"$60,800 ","$105,100 "
43 (tie),Accounting & Computer Systems,Bachelor's,"$60,400 ","$104,900 "
43 (tie),Business & Economics,Bachelor's,"$53,900 ","$104,900 "
45 (tie),Industrial Engineering & Management,Bachelor's,"$59,400 ","$104,600 "
45 (tie),Statistics,Bachelor's,"$60,000 ","$104,600 "
47,Operations Management & Information Systems,Bachelor's,"$60,100 ","$104,500 "
48 (tie),Electronics Engineering,Bachelor's,"$63,300 ","$104,300 "
48 (tie),Software Engineering,Bachelor's,"$66,300 ","$104,300 "
50,Materials Science & Engineering,Bachelor's,"$66,300 ","$104,100 "
51,Mathematics & Statistics,Bachelor's,"$54,600 ","$104,000 "
52,Construction Engineering Management,Bachelor's,"$60,500 ","$103,700 "
53,Finance & Investments,Bachelor's,"$55,200 ","$103,600 "
54,Biomedical Engineering (BME),Bachelor's,"$62,900 ","$103,500 "
55 (tie),Computer Technology,Bachelor's,"$52,400 ","$103,300 "
55 (tie),Finance & Economics,Bachelor's,"$56,600 ","$103,300 "
57,Economics,Bachelor's,"$54,100 ","$103,200 "
58,Aeronautical Science,Bachelor's,"$46,600 ","$103,100 "
