School Name,Cost 2015,Cost 2014,
Adelphi University,"$47,110 ","$45,200 ",
Aerosim Flight Academy,"$82,824 ","$82,824 ",
Agnes Scott College,"$47,323 ","$45,691 ",
Alaska Pacific University,"$43,180 ","$43,180 ",
Albertus Magnus College,"$47,302 ","$46,528 ",
Albion College,"$48,195 ","$45,884 ",
Albright College,"$49,160 ","$47,390 ",
Allegheny College,"$52,020 ","$50,150 ",
Alma College,"$44,287 ","$42,312 ",
Alvernia University,"$43,250 ","$42,030 ",
American Academy of Dramatic Arts-New York,"$48,310 ","$31,210 ",
American International College,"$44,900 ","$43,468 ",
American Jewish University,"$46,869 ","$46,466 ",
American Musical and Dramatic Academy,"$45,420 ","$43,408 ",
American University,"$56,808 ","$55,353 ",
Amherst College,"$61,544 ","$59,060 ",
Anna Maria College,"$48,146 ","$44,392 ",
Arcadia University,"$51,970 ","$50,270 ",
Assumption College,"$48,521 ","$47,195 ",
Augsburg College,"$45,465 ","$43,997 ",
Augustana College,"$47,137 ","$45,598 ",
Austin Peay State University,"$47,625 ","$46,097 ",
Aviator College of Aeronautical Science and Technology,"$66,400 ","$55,496 ",
Azusa Pacific University,"$45,996 ","$44,561 ",
Babson College,"$60,504 ","$58,450 ",
Bard College,"$62,572 ","$60,280 ",
Bard College at Simon's Rock,"$61,403 ","$59,385 ",
Barnard College,"$61,512 ","$59,824 ",
Barry University,"$45,100 ","$42,100 ",
Bates College,"$61,000 ","$59,285 ",
Bay Path College,"$44,559 ","$42,572 ",
Baylor University,"$53,886 ","$49,038 ",
Beacon College,"$45,968 ","$43,277 ",
Becker College,"$47,160 ","$45,720 ",
Bellarmine University,"$52,574 ","$50,420 ",
Beloit College,"$50,406 ","$48,236 ",
Bennington College,"$61,920 ","$60,540 ",
Bentley University,"$56,930 ","$54,888 ",
Berklee College of Music,"$58,522 ","$57,131 ",
Berry College,"$43,834 ","$41,749 ",
Bethel University,"$44,300 ","$43,000 ",
Biola University,"$46,624 ","$45,153 ",
Birmingham Southern College,"$45,470 ","$44,634 ",
Boston College,"$60,706 ","$58,686 ",
Boston University,"$61,446 ","$59,100 ",
Bowdoin College,"$59,900 ","$58,200 ",
Brandeis University,"$61,070 ","$59,050 ",
Bridgewater College,"$43,310 ","$41,730 ",
Brown University,"$60,460 ","$58,140 ",
Bryant University,"$53,598 ","$51,931 ",
Bryn Mawr College,"$59,760 ","$57,586 ",
Bucknell University,"$61,060 ","$59,090 ",
Butler University,"$49,698 ","$47,468 ",
Cabrini College,"$45,322 ","$45,272 ",
Caldwell College,"$43,800 ","$42,190 ",
California College of the Arts,"$56,134 ","$54,298 ",
California Institute of Technology,"$58,755 ","$56,382 ",
California Institute of the Arts,"$58,296 ","$56,822 ",
California Lutheran University,"$52,577 ","$50,753 ",
Canisius College,"$48,102 ","$45,680 ",
Capital University,"$44,350 ","$43,364 ",
Carleton College,"$60,425 ","$58,275 ",
Carnegie Mellon University,"$62,032 ","$59,710 ",
Carthage College,"$48,050 ","$45,700 ",
Case Western Reserve University,"$57,798 ","$56,026 ",
Catholic University of America,"$56,842 ","$55,084 ",
Cazenovia College,"$43,290 ","$41,420 ",
Cedar Crest College,"$45,021 ","$43,436 ",
Centenary College,"$43,435 ","$42,321 ",
Centenary College of Louisiana,"$44,600 ","$43,000 ",
Central College,"$45,151 ","$43,491 ",
Centre College,"$48,020 ","$46,400 ",
Champlain College,"$46,850 ","$44,961 ",
Chapman University,"$59,459 ","$57,688 ",
Chatham University,"$46,162 ","$45,058 ",
Chestnut Hill College,"$44,378 ","$44,162 ",
Citadel Military College of South Carolina,"$44,243 ","$43,080 ",
Claremont McKenna College,"$62,010 ","$60,065 ",
Clark University,"$48,770 ","$47,520 ",
Clarkson University,"$57,514 ","$55,030 ",
Clemson University,"$45,936 ","$45,108 ",
Cleveland Institute of Art,"$54,161 ","$52,403 ",
Cleveland Institute of Music,"$59,413 ","$59,778 ",
Coe College,"$47,260 ","$45,520 ",
Colby College,"$59,110 ","$57,300 ",
Colby-Sawyer College,"$52,800 ","$50,870 ",
Colgate University,"$60,050 ","$57,745 ",
College for Creative Studies,"$50,110 ","$48,780 ",
College of Charleston,"$43,120 ","$40,852 ",
College of Mount Saint Vincent,"$44,835 ","$43,020 ",
College of Our Lady of the Elms,"$44,612 ","$43,072 ",
College of Saint Benedict,"$49,970 ","$47,789 ",
College of Saint Elizabeth,"$47,147 ","$45,539 ",
College of the Atlantic,"$49,890 ","$48,639 ",
College of the Holy Cross,"$57,832 ","$56,730 ",
College of William and Mary,"$51,306 ","$49,712 ",
Colorado College,"$57,400 ","$54,350 ",
Colorado School of Mines,"$46,533 ","$44,531 ",
Columbia University in the City of New York,"$64,144 ","$45,396 ",
Concordia University-Irvine,"$43,550 ","$42,070 ",
Connecticut College,"$60,780 ","$58,690 ",
Cooper Union for the Advancement of Science and Art,"$60,075 ","$53,895 ",
Corcoran College of Art and Design,"$51,080 ","$49,330 ",
Cornell College,"$48,905 ","$46,135 ",
Cornell University,"$61,618 ","$59,591 ",
Cornish College of the Arts,"$48,370 ","$46,430 ",
Creighton University,"$48,058 ","$46,776 ",
Curry College,"$50,845 ","$49,125 ",
Dartmouth College,"$63,279 ","$61,398 ",
Davidson College,"$57,458 ","$54,930 ",
Dean College,"$49,990 ","$48,090 ",
Delaware Valley College,"$47,467 ","$45,608 ",
Denison University,"$56,520 ","$54,490 ",
DePaul University,"$49,367 ","$47,540 ",
DePauw University,"$53,290 ","$51,050 ",
DeSales University,"$48,398 ","$47,136 ",
Dickinson College,"$60,183 ","$58,229 ",
Dominican University of California,"$58,860 ","$57,266 ",
Dowling College,"$43,962 ","$42,696 ",
Drake University,"$44,349 ","$42,696 ",
Drew University,"$59,362 ","$58,026 ",
Drexel University,"$57,870 ","$55,910 ",
Duke University,"$61,748 ","$59,528 ",
Duquesne University,"$44,567 ","$42,782 ",
Earlham College,"$52,710 ","$50,930 ",
Eckerd College,"$51,796 ","$50,062 ",
Elizabethtown College,"$49,650 ","$47,500 ",
Elmhurst College,"$46,000 ","$44,000 ",
Elmira College,"$50,800 ","$50,800 ",
Elon University,"$43,546 ","$41,960 ",
Embry-Riddle Aeronautical University - FL,"$46,614 ","$45,648 ",
Embry-Riddle Aeronautical University - AZ,"$46,314 ","$45,348 ",
Emerson College,"$53,554 ","$51,186 ",
Emmanuel College,"$51,363 ","$50,018 ",
Emory University,"$59,908 ","$58,180 ",
Endicott College,"$45,536 ","$44,500 ",
Erskine College,"$47,610 ","$45,215 ",
Fairfield University,"$58,730 ","$57,240 ",
Fairleigh Dickinson University-College at Florham,"$54,502 ","$53,644 ",
Fairleigh Dickinson University-Metropolitan Campus,"$52,036 ","$50,284 ",
Felician College,"$45,800 ","$44,850 ",
Fisher College,"$46,840 ","$45,499 ",
Florida Institute of Technology,"$52,690 ","$52,490 ",
Fordham University,"$63,438 ","$61,073 ",
Franklin and Marshall College,"$60,765 ","$58,580 ",
Franklin Pierce University,"$45,898 ","$44,410 ",
Franklin W Olin College of Engineering,"$61,956 ","$59,275 ",
Furman University,"$57,276 ","$55,750 ",
George Fox University,"$43,800 ","$42,660 ",
George Mason University,"$44,019 ","$42,776 ",
George Washington University,"$61,446 ","$58,985 ",
Georgetown College,"$44,110 ","$42,260 ",
Georgetown University,"$62,179 ","$59,900 ",
Georgian Court University,"$43,276 ","$42,150 ",
Gettysburg College,"$58,320 ","$55,770 ",
Gonzaga University,"$48,530 ","$46,615 ",
Gordon College,"$44,860 ","$43,140 ",
Goucher College,"$52,908 ","$51,160 ",
Green Mountain College,"$45,988 ","$44,446 ",
Grinnell College,"$56,354 ","$53,318 ",
Guilford College,"$45,395 ","$44,255 ",
Gustavus Adolphus College,"$50,110 ","$48,440 ",
Hamilton College,"$59,590 ","$57,420 ",
Hamline University,"$46,398 ","$44,652 ",
Hampden-Sydney College,"$51,577 ","$49,136 ",
Hampshire College,"$60,155 ","$57,820 ",
Hanover College,"$44,150 ","$42,198 ",
Hartwick College,"$50,815 ","$48,945 ",
Harvard University,"$59,950 ","$57,050 ",
Harvey Mudd College,"$63,860 ","$60,613 ",
Haverford College,"$61,898 ","$59,654 ",
Hendrix College,"$52,536 ","$50,568 ",
High Point University,"$43,900 ","$2,300 ",
Hiram College,"$43,145 ","$42,745 ",
Hobart William Smith Colleges,"$59,850 ","$57,699 ",
Hofstra University,"$54,289 ","$52,103 ",
Hollins University,"$48,180 ","$46,495 ",
Holy Names University,"$49,041 ","$47,153 ",
Hood College,"$48,830 ","$46,730 ",
Illinois Institute of Technology,"$54,677 ","$51,922 ",
Illinois Wesleyan University,"$50,352 ","$48,522 ",
Immaculata University,"$49,130 ","$46,578 ",
Indiana University-Bloomington,"$45,961 ","$44,566 ",
Iona College,"$49,295 ","$47,678 ",
Ithaca College,"$55,587 ","$53,567 ",
Jacksonville University,"$44,670 ","$42,824 ",
John Carroll University,"$48,310 ","$46,580 ",
Johns Hopkins University,"$61,502 ","$58,980 ",
Juniata College,"$49,220 ","$47,430 ",
Kalamazoo College,"$50,800 ","$48,547 ",
Kansas City Art Institute,"$50,362 ","$47,708 ",
Kendall College,"$45,396 ","$45,396 ",
Kenyon College,"$60,070 ","$57,910 ",
Kettering University,"$51,277 ","$49,303 ",
King's College,"$45,468 ","$43,984 ",
Knox College,"$49,252 ","$46,324 ",
La Salle University,"$51,770 ","$49,910 ",
Lafayette College,"$59,750 ","$57,688 ",
